Machakos Teachers Training College	r.machakos-ttc.n.kenet.or.ke
Machakos TTI for Blind	r.macha-blind.n.kenet.or.ke
Machakos University	r.macha.n.kenet.or.ke
Mama Ngina University College	r.mama-ngina.n.kenet.or.ke
Masai Technical Training Institute	r.masai-tti.n.kenet.or.ke
Masinde Muliro University	r.mmust.k.kenet.or.ke
Meru National Polytechnic	r.meru-poly.m.kenet.or.ke
Meru Teaching and Referral Hospital	r.meru-trh.m.kenet.or.ke
Meru University -Marimba Centre	r.must-marimba.m.kenet.or.ke
Meru University -Meru Town Campus	r.must-town.m.kenet.or.ke
Meru University of Science & Technology - Main	r.mucst.m.kenet.or.ke
Mitunguu Technical Training Institute	r.mitunguu-tti.m.kenet.or.ke
Moi Teaching and Referral Hospital - MTRH	r.mtrh.e.kenet.or.ke
Moi University - CHS	r.moi-chs.e.kenet.or.ke
Moi University - Main Campus	r.moi-main.e.kenet.or.ke
Moi University - Mombasa Campus	r.moi-msa.s.kenet.or.ke
Moi University - Nairobi Campus	r.moi-nrb.n.kenet.or.ke
Moi University - Pension Scheme	r.moi-pension.e.kenet.or.ke
Moi University - School of Law	r.moi-sol.e.kenet.or.ke
Moringa School	r.moringa.n.kenet.or.ke
Mosoriot TTC	r.mosoriot-ttc.e.kenet.or.ke
Mount Kenya University - Mombasa	r.mku-msa.s.kenet.or.ke
Mount Kenya University- Eldoret	r.mku-eld.e.kenet.or.ke
Mount Kenya University-Kitale Campus	r.mku-kitale.e.kenet.or.ke
Mount Kenya University-Meru Campus	r.mku-meru.m.kenet.or.ke
Mount Kenya University-Nairobi CBD	r.mku-nrb.n.kenet.or.ke
Mount Kenya University-Nakuru	r.mku-nakuru.a.kenet.or.ke
Mount Kenya University-Parklands	r.mku-parklands.n.kenet.or.ke
Mount Kenya University-Thika Campus	r.mku-main.n.kenet.or.ke
Mpala Research Centre	r.mpala.m.kenet.or.ke
MUCHS-USAID 4TheChild Formerly AMPATH-Kisumu	r.ampath-ksm.k.kenet.or.ke
Mukiria Technical Training Institute	r.mukiria-tti.m.kenet.or.ke
Multi Media University	r.mmu.n.kenet.or.ke
Muraga Technical Training Institute	r.muraga-tti.m.kenet.or.ke
Murang'a University of Technology - Mareira Campus	r.mut-mariira.m.kenet.or.ke
Muranga Technical Training Institute	r.muranga-tti.m.kenet.or.ke
Muranga University	r.mruc.m.kenet.or.ke
Nairobi Technical Training Instituition	r.nairobi-tti.n.kenet.or.ke
Narok Teachers Training College	r.narok-ttc.a.kenet.or.ke
National Commission For Science, Technology & Innovation - NACOSTI	r.nacosti.n.kenet.or.ke
National Defence Staff College	r.ndc.n.kenet.or.ke
National Defence University	r.ndu-main.a.kenet.or.ke
National Intelligence Research University College	r.niruc.n.kenet.or.ke
National Museums of Kenya	r.nmk.n.kenet.or.ke
National Museums of Kenya - Karen	r.nmk-karen.n.kenet.or.ke
National Research Fund	r.nrf.n.kenet.or.ke
Ngong Technical and Vocational college	r.ngong-tvc.n.kenet.or.ke
NI3C - Part of CEMASTEA	r.ni3c.n.kenet.or.ke
Nkabune TTI	r.nkabune-tti.m.kenet.or.ke
North Eastern National Polytechnic	r.ne-poly.n.kenet.or.ke
Nuu TVC	r.nuu-tvc.n.kenet.or.ke
Nyandarua Institute	r.nyandarua-poly.m.kenet.or.ke
Nyeri National Polytechnic	r.nyeri-poly.m.kenet.or.ke
Omuga Technical and Vocational College	r.omuga-tvc.k.kenet.or.ke
Outspan Medical College	r.outspan-mc.m.kenet.or.ke
Outspan Medical Hospital	r.outspan-hosp.m.kenet.or.ke
PAC University	r.pac.n.kenet.or.ke
PAC Valley Road	r.pac-valley-rd.n.kenet.or.ke
PAUISTI	r.pausti.n.kenet.or.ke
PC Kinyanjui	r.pc-kinyanjui.n.kenet.or.ke
PCEA Chogoria	r.pcea-chogoria-hsp.m.kenet.or.ke
PCEA Kikuyu Hospital Nursing School	r.pcea-kikuyu-hosp.n.kenet.or.ke
Pioneer International University	r.piu-main.n.kenet.or.ke
Presbyterian University of Eastern Africa - PUEA	r.puea-kikuyu.n.kenet.or.ke
Pwani University Mombasa	r.pwani-msa.s.kenet.or.ke
Pwani University-On Session (Sep-Mar 2023)	r.pwani.s.kenet.or.ke
Qwetu Acorn House HQ	r.qwetu-hq.n.kenet.or.ke
Qwetu CUEA	r.qwetu-cuea.kenet.or.ke
Qwetu Jogoo	r.qwetu-jogoo.n.kenet.or.ke
Qwetu Wilson	r.qwetu-wilson.n.kenet.or.ke
RAF University - Main (Islamic University of Kenya)	r.raf.n.kenet.or.ke
RAF University - South C (Islamic University of Kenya)	r.raf-southc.n.kenet.or.ke
Ramogi Institute of Advanced Technology	r.ramogi-inst.k.kenet.or.ke
Regional Centre for Mapping Resource For Development (RCMRD)	r.rcmrd.n.kenet.or.ke
Riara University	r.riara.n.kenet.or.ke
Rift Valley Technical Training Institute	r.rv-tti.e.kenet.or.ke
Rongo University	r.rongo.k.kenet.or.ke
School Equipment Production Unit (SEPU)	r.sepu.n.kenet.or.ke
Scott Christian University	r.scott.n.kenet.or.ke
Shanzu TTC	r.shanzu-ttc.s.kenet.or.ke
Siala Technical Training Institute	r.siala-tti.k.kenet.or.ke
Siaya Institute of technology	r.siaya-inst.k.kenet.or.ke
Sigalagala Polytechnic	r.sigalagala.k.kenet.or.ke
Sikri Technical Training Institute	r.sikri-tti.k.kenet.or.ke
Siruti Technical and Vocational College Awendo	r.siruti-tvc.k.kenet.or.ke
